SH600436	2013-07-01	2015-06-12
SH601991	2013-07-01	2014-12-12
SH601238	2013-01-04	2014-12-12
SH601666	2005-01-01	2014-12-12
SH600598	2005-01-01	2014-06-13
SZ000027	2013-07-01	2013-12-13
SH601788	2010-07-01	2013-12-13
SH600550	2005-01-01	2013-12-13
SH600005	2005-01-01	2013-12-13
SH601558	2011-07-01	2013-06-28
SZ000825	2005-01-01	2013-06-28
SZ000898	2005-01-01	2013-06-28
SH600456	2005-01-01	2013-06-28
SH600320	2005-01-01	2012-12-31
SH601919	2005-01-01	2012-12-31
SZ002493	2011-07-01	2012-12-31
SH601991	2012-01-04	2012-12-31
SH600500	2005-01-01	2012-12-31
SZ000027	2005-01-01	2012-06-29
SH600008	2005-01-01	2012-06-29
SH600026	2005-01-01	2012-06-29
SH601727	2009-07-01	2012-06-29
SH600808	2005-01-01	2012-06-29
SZ000725	2010-07-01	2011-12-30
SZ000927	2005-01-01	2011-12-30
SH600018	2005-01-01	2011-12-30
SH600717	2005-01-01	2011-12-30
SH600350	2005-01-01	2011-06-30
SH600663	2005-01-01	2011-06-30
SH601991	2005-01-01	2010-12-31
SH601872	2005-01-01	2010-12-31
SZ000932	2005-01-01	2010-12-31
SH600011	2005-01-01	2010-12-31
SH600027	2005-01-01	2010-12-31
SH600886	2005-01-01	2010-12-31
SH601588	2005-01-01	2010-12-31
SH600688	2005-01-01	2010-12-31
SH600276	2009-07-01	2010-06-30
SZ000629	2005-01-01	2009-12-31
SZ000725	2005-01-01	2009-12-31
SZ000088	2005-01-01	2009-06-30
SH600887	2005-01-01	2009-06-30
SH600115	2005-01-01	2009-06-30
